text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon,word
kwprny),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 5",noun pl. emphatic,,,,,כופרניא,noun pl. emphatic,5
dqyqyy),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 6",A05,,,,,דקיקייא,adjective plural determined,6
d)wrxyhwN,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 7",noun sg. emphatic,p,,,,דאורחיהון,noun sg. emphatic | preposition,7
mstlq),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 8",verb Dt,,,,,מסתלקא,verb ethpaal,8
(d,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 0",c,,,,,עד,conjunction,0
dhw),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 1",c,P01C,,,,דהוא,conjunction | P01C,1
)ymm),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 2",noun sg. emphatic,,,,,איממא,noun sg. emphatic,2
dcdy,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 3",verb G,c,,,,דצדי,verb peal | conjunction,3
lwN,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 4",p02,,,,,לון,preposition with pronominal suffix,4
mqmy,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 5",p01C,,,,,מקמי,p01C,5
xywt),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 6",N,,,,,חיותא,noun,6
ny$m(ynh,"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 0",verb G,,,,,נישמעינה,verb peal,0
mN,"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 1",p01,,,,,מן,preposition independent,1
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 2",P01,,,,,הדא,preposition independent,2
qdmy),"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 0",A02C,,,,,קדמיא,A02C,0
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 1",a01C,,,,,לא,a01C,1
mtx$b,"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 2",verb Gt,,,,,מתחשב,verb ethpeel,2
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 0",N,,,,,ר',noun,0
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 1",PN Personal name,,,,,יוסי,proper name Personal name,1
byr',"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 2",noun sg. abs. or construct,,,,,ביר',noun sg. abs. or construct,2
bwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 3",PN Personal name,,,,,בון,proper name Personal name,3
b(y,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 4",verb G,,,,,בעי,verb peal,4
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 0",P01,,,,,הדא,preposition independent,0
dtymr,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 1",verb G,c,,,,דתימר,verb peal | conjunction,1
b)ylyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 2",R,p02,,,,באילין,R | preposition with pronominal suffix,2
dlyt,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 0",c,verb G,,,,דלית,conjunction | verb peal,0
)wrxthwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 1",noun pl. emphatic,,,,,אורחתהון,noun pl. emphatic,1
mtxmyy),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 2",verb Gt,,,,,מתחמייא,verb ethpeel,2
bymm),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 3",noun sg. emphatic,p02,,,,ביממא,noun sg. emphatic | preposition with pronominal suffix,3
brM,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 4",c,,,,,ברם,conjunction,4
b)ylyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 5",R,p02,,,,באילין,R | preposition with pronominal suffix,5
d)wrxhwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 6",noun sg. emphatic,p,,,,דאורחהון,noun sg. emphatic | preposition,6
mtxmy),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 7",verb Gt,,,,,מתחמיא,verb ethpeel,7
bymm),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 8",noun sg. emphatic,p02,,,,ביממא,noun sg. emphatic | preposition with pronominal suffix,8
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 9",a01C,,,,,לא,a01C,9
m$(ryN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 0",verb D,,,,,משערין,verb pael,0
bhwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 1",p02C,,,,,בהון,p02C,1
)m',"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 2",verb G,,,,,אמ',verb peal,2
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 3",N,,,,,ר',noun,3
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 4",PN Personal name,,,,,יוסי,proper name Personal name,4
byr',"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 5",noun sg. abs. or construct,,,,,ביר',noun sg. abs. or construct,5
bwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 6",PN Personal name,,,,,בון,proper name Personal name,6
wblxwd,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 7",a01C,c,,,,ובלחוד,a01C | conjunction,7
dytxmwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 8",c,verb Gt,,,,דיתחמון,conjunction | verb ethpeel,8
tlt),"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 9",n01C,,,,,תלתא,n01C,9
kwkbyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 10",noun pl. absolute,,,,,כוכבין,noun pl. absolute,10
br mN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 11",p01C,,,,,בר מן,p01C,11
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 12",P01,,,,,הדא,preposition independent,12
kwkbt),"Masekhet: 5330001, Page: 02, Side: b, Line: 23, Word: 0",noun sg. emphatic,,,,,כוכבתא,noun sg. emphatic,0
wlyt,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 0",verb G,c,,,,ולית,verb peal | conjunction,0
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 1",p01,,,,,ליה,preposition independent,1
spq,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 2",noun sg. abs. or construct,,,,,ספק,noun sg. abs. or construct,2
)yt,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 3",verb G,,,,,אית,verb peal,3
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 4",p01,,,,,ליה,preposition independent,4
spq,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 5",noun sg. abs. or construct,,,,,ספק,noun sg. abs. or construct,5
byN,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 6",p,,,,,בין,preposition,6
kwkb,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 7",noun sg. abs. or construct,,,,,כוכב,noun sg. abs. or construct,7
lkwkb,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 8",noun sg. abs. or construct,p03,,,,לכוכב,noun sg. abs. or construct | preposition proclitic,8
wtny,"Masekhet: 5330001, Page: 02, Side: b, Line: 28, Word: 0",verb G,c,,,,ותני,verb peal | conjunction,0
$mw)l,"Masekhet: 5330001, Page: 02, Side: b, Line: 28, Word: 1",PN Personal name,,,,,שמואל,proper name Personal name,1
kN,"Masekhet: 5330001, Page: 02, Side: b, Line: 28, Word: 2",a01C,,,,,כן,a01C,2
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 31, Word: 0",P01,,,,,הדא,preposition independent,0
dtym',"Masekhet: 5330001, Page: 02, Side: b, Line: 31, Word: 1",verb G,c,,,,דתימ',verb peal | conjunction,1
bhhw),"Masekhet: 5330001, Page: 02, Side: b, Line: 31, Word: 2",p02,P01C,,,,בההוא,preposition with pronominal suffix | P01C,2
d)z{y}l,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 0",verb G,c,,,,דאזל,verb peal | conjunction,0
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 1",p01,,,,,ליה,preposition independent,1
bqpwndr),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 2",p02,N,,,,בקפונדרא,preposition with pronominal suffix | noun,2
brM,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 3",c,,,,,ברם,conjunction,3
hhw),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 4",P01C,,,,,ההוא,P01C,4
d)zl,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 5",verb G,c,,,,דאזל,verb peal | conjunction,5
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 6",p01,,,,,ליה,preposition independent,6
b)ysrT),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 7",N,p02,,,,באיסרטא,noun | preposition with pronominal suffix,7
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 8",a01C,,,,,לא,a01C,8
bdh,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 9",verb G,,,,,בדה,verb peal,9
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 0",N,,,,,ר',noun,0
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 1",PN Personal name,,,,,יוסי,proper name Personal name,1
wr',"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 2",N,c,,,,ור',noun | conjunction,2
)x),"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 3",PN Personal name,,,,,אחא,proper name Personal name,3
hww,"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 4",verb G,,,,,הוו,verb peal,4
ytbyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 5",verb G,,,,,יתבין,verb peal,5
)m',"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 6",verb G,,,,,אמ',verb peal,6
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 36, Word: 7",N,,,,,ר',noun,7
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 0",PN Personal name,,,,,יוסי,proper name Personal name,0
lr',"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 1",p03,N,,,,לר',preposition proclitic | noun,1
)x),"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 2",PN Personal name,,,,,אחא,proper name Personal name,2
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 3",a01C,,,,,לא,a01C,3
mstbr),"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 4",verb Gt,,,,,מסתברא,verb ethpeel,4
"""swP","Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 5",No data,,,,,סוף,No data,5
xcy,"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 6",No data,,,,,חצי,No data,6
"myl""","Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 7",No data,,,,,מיל,No data,7
drby,"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 8",p,N,,,,דרבי,preposition | noun,8
nxmyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 9",PN Personal name,,,,,נחמיה,proper name Personal name,9
"""khrP","Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 10",No data,,,,,כהרף,No data,10
"(yN""","Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 11",No data,,,,,עין,No data,11
drby,"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 12",p,N,,,,דרבי,preposition | noun,12
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 37, Word: 13",PN Personal name,,,,,יוסי,proper name Personal name,13
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 0",verb G,,,,,אמ',verb peal,0
lyh,"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 1",p01,,,,,ליה,preposition independent,1
)wP,"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 2",c,,,,,אוף,conjunction,2
)n),"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 3",P01C,,,,,אנא,P01C,3
sbr,"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 4",verb G,,,,,סבר,verb peal,4
kN,"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 5",a01C,,,,,כן,a01C,5
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 6",N,,,,,ר',noun,6
xzqyh,"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 7",PN Personal name,,,,,חזקיה,proper name Personal name,7
l),"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 8",a01C,,,,,לא,a01C,8
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 9",verb G,,,,,אמ',verb peal,9
kN,"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 10",a01C,,,,,כן,a01C,10
)l),"Masekhet: 5330001, Page: 02, Side: c, Line: 01, Word: 11",c,,,,,אלא,conjunction,11
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 0",verb G,,,,,אמ',verb peal,0
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 1",N,,,,,ר',noun,1
mn),"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 2",PN Personal name,,,,,מנא,proper name Personal name,2
q$yyth,"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 3",verb D,,,,,קשייתה,verb pael,3
qwmy,"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 4",p01C,,,,,קומי,p01C,4
dr',"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 5",p,N,,,,דר',preposition | noun,5
xzqyh,"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 6",PN Personal name,,,,,חזקיה,proper name Personal name,6
kyy,"Masekhet: 5330001, Page: 02, Side: c, Line: 02, Word: 7",P01C,p02,,,,כיי,P01C | preposition with pronominal suffix,7
dtnynN,"Masekhet: 5330001, Page: 02, Side: c, Line: 03, Word: 0",c,verb G,,,,דתנינן,conjunction | verb peal,0
tmN,"Masekhet: 5330001, Page: 02, Side: c, Line: 03, Word: 1",X,,,,,תמן,X,1
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 05, Word: 0",N,,,,,ר',noun,0
xyy),"Masekhet: 5330001, Page: 02, Side: c, Line: 05, Word: 1",PN Personal name,,,,,חייא,proper name Personal name,1
br,"Masekhet: 5330001, Page: 02, Side: c, Line: 05, Word: 2",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,2
ywsP,"Masekhet: 5330001, Page: 02, Side: c, Line: 05, Word: 3",PN Personal name,,,,,יוסף,proper name Personal name,3
b(),"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 0",verb G,,,,,בעא,verb peal,0
qwmy,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 1",p01C,,,,,קומי,p01C,1
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 2",N,,,,,ר',noun,2
ywxnN,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 3",PN Personal name,,,,,יוחנן,proper name Personal name,3
m)N,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 4",P02C,,,,,מאן,P02C,4
tn),"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 5",verb G,,,,,תנא,verb peal,5
"""r)yh","Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 6",No data,,,,,ראיה,No data,6
nxlqt,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 7",No data,,,,,נחלקת,No data,7
"l$nyM""","Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 8",No data,,,,,לשנים,No data,8
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 9",N,,,,,ר',noun,9
ywsy,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 10",PN Personal name,,,,,יוסי,proper name Personal name,10
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 11",verb G,,,,,אמ',verb peal,11
lh,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 12",p01,,,,,לה,preposition independent,12
{q$th}/q$Tth#01#/,"Masekhet: 5330001, Page: 02, Side: c, Line: 06, Word: 13",verb G,,,,,קשטתה/,verb peal,13
(l,"Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 0",p01C,,,,,על,p01C,0
d(tK,"Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 1",noun sg. emphatic,,,,,דעתך,noun sg. emphatic,1
d)t,"Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 2",R,c,,,,דאת,R | conjunction,2
)mr,"Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 3",verb G,,,,,אמר,verb peal,3
"""kl","Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 4",No data,,,,,כל,No data,4
hrP,"Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 5",No data,,,,,הרף,No data,5
"(yN""","Masekhet: 5330001, Page: 02, Side: c, Line: 07, Word: 6",No data,,,,,עין,No data,6
lmh,"Masekhet: 5330001, Page: 02, Side: c, Line: 08, Word: 0",c,,,,,למה,conjunction,0
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 08, Word: 1",verb G,,,,,אמ',verb peal,1
lyh,"Masekhet: 5330001, Page: 02, Side: c, Line: 08, Word: 2",p01,,,,,ליה,preposition independent,2
{q$tyh}/q$Tth#01#/,"Masekhet: 5330001, Page: 02, Side: c, Line: 08, Word: 3",verb G,,,,,קשטתה/,verb peal,3
m)N,"Masekhet: 5330001, Page: 02, Side: c, Line: 08, Word: 4",P02C,,,,,מאן,P02C,4
plyg,"Masekhet: 5330001, Page: 02, Side: c, Line: 08, Word: 5",verb G,,,,,פליג,verb peal,5
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 0",N,,,,,ר',noun,0
xnyn),"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 1",PN Personal name,,,,,חנינא,proper name Personal name,1
xbrhwN,"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 2",noun sg. emphatic,,,,,חברהון,noun sg. emphatic,2
drbnN,"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 3",p,noun pl. emphatic,,,,דרבנן,preposition | noun pl. emphatic,3
b(y,"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 4",verb G,,,,,בעי,verb peal,4
kmh,"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 5",c,,,,,כמה,conjunction,5
d)t,"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 6",R,c,,,,דאת,R | conjunction,6
)mr,"Masekhet: 5330001, Page: 02, Side: c, Line: 09, Word: 7",verb G,,,,,אמר,verb peal,7
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 17, Word: 0",verb G,,,,,אמ',verb peal,0
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 17, Word: 1",N,,,,,ר',noun,1
hwn),"Masekhet: 5330001, Page: 02, Side: c, Line: 17, Word: 2",PN Personal name,,,,,הונא,proper name Personal name,2
nlpynh,"Masekhet: 5330001, Page: 02, Side: c, Line: 17, Word: 3",V,,,,,נלפינה,V,3
"""mdrK","Masekhet: 5330001, Page: 02, Side: c, Line: 17, Word: 4",No data,,,,,מדרך,No data,4
"h)rC""","Masekhet: 5330001, Page: 02, Side: c, Line: 17, Word: 5",No data,,,,,הארץ,No data,5
$ry,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 0",verb G,,,,,שרי,verb peal,0
mlk),"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 1",noun sg. emphatic,,,,,מלכא,noun sg. emphatic,1
npq,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 2",verb G,,,,,נפק,verb peal,2
)('g,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 3",c,,,,,אע'ג,conjunction,3
dl),"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 4",c,a01,,,,דלא,conjunction | a01,4
npq,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 5",verb G,,,,,נפק,verb peal,5
)mryN,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 6",verb G,,,,,אמרין,verb peal,6
dnpq,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 7",c,verb G,,,,דנפק,conjunction | verb peal,7
$ry,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 8",verb G,,,,,שרי,verb peal,8
(lyl,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 9",verb G,,,,,עליל,verb peal,9
l),"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 10",a01C,,,,,לא,a01C,10
)mryN,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 11",verb G,,,,,אמרין,verb peal,11
d(l,"Masekhet: 5330001, Page: 02, Side: c, Line: 18, Word: 12",verb G,c,,,,דעל,verb peal | conjunction,12
(d,"Masekhet: 5330001, Page: 02, Side: c, Line: 19, Word: 0",p01C,,,,,עד,p01C,0
$(th,"Masekhet: 5330001, Page: 02, Side: c, Line: 19, Word: 1",noun sg. emphatic,,,,,שעתה,noun sg. emphatic,1
dyy(wl,"Masekhet: 5330001, Page: 02, Side: c, Line: 19, Word: 2",verb G,c,,,,דייעול,verb peal | conjunction,2
tryN,"Masekhet: 5330001, Page: 02, Side: c, Line: 19, Word: 3",b,,,,,תרין,b,3
)mwryN,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 0",noun pl. absolute,,,,,אמורין,noun pl. absolute,0
r',"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 1",N,,,,,ר',noun,1
lwy,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 2",PN Personal name,,,,,לוי,proper name Personal name,2
wr',"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 3",N,c,,,,ור',noun | conjunction,3
symwN,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 4",PN Personal name,,,,,סימון,proper name Personal name,4
xd,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 5",n01C,,,,,חד,n01C,5
)m'...,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 6",verb G,,,,,אמ',verb peal,6
wxd,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 7",c,n01C,,,,וחד,conjunction | n01C,7
)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 8",verb G,,,,,אמ',verb peal,8
m)N,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 9",P02C,,,,,מאן,P02C,9
d)m'..,"Masekhet: 5330001, Page: 02, Side: c, Line: 20, Word: 10",verb G,c,,,,דאמ',verb peal | conjunction,10
wm)N,"Masekhet: 5330001, Page: 02, Side: c, Line: 22, Word: 0",P01C,c,,,,ומאן,P01C | conjunction,0
d)m',"Masekhet: 5330001, Page: 02, Side: c, Line: 22, Word: 1",verb G,c,,,,דאמ',verb peal | conjunction,1
wmh,"Masekhet: 5330001, Page: 02, Side: c, Line: 23, Word: 0",P01C,c,,,,ומה,P01C | conjunction,0
T(m',"Masekhet: 5330001, Page: 02, Side: c, Line: 23, Word: 1",noun sg. emphatic,,,,,טעמ',noun sg. emphatic,1
"""qrbt","Masekhet: 5330001, Page: 02, Side: c, Line: 23, Word: 2",No data,,,,,קרבת,No data,2
"(l""","Masekhet: 5330001, Page: 02, Side: c, Line: 23, Word: 3",No data,,,,,על,No data,3
xd,"Masekhet: 5330001, Page: 02, Side: c, Line: 23, Word: 4",No data,,,,,חד,No data,4
mN,"Masekhet: 5330001, Page: 02, Side: c, Line: 24, Word: 0",No data,,,,,מן,No data,0
"qmyy)""","Masekhet: 5330001, Page: 02, Side: c, Line: 24, Word: 1",No data,,,,,קמייא,No data,1
qyymy),"Masekhet: 5330001, Page: 02, Side: c, Line: 24, Word: 2",noun pl. emphatic,,,,,קיימיא,noun pl. emphatic,2
""")M","Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 0",No data,,,,,אם,No data,0
hyw,"Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 1",No data,,,,,היו,No data,1
)rb(,"Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 2",No data,,,,,ארבע,No data,2
"xwzr""","Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 3",No data,,,,,חוזר,No data,3
tlyty)t),"Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 4",A02,,,,,תליתיאתא,adjective singular determined,4
kqdmyt),"Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 5",p02,A02C,,,,כקדמיתא,preposition with pronominal suffix | A02C,5
wrby(t),"Masekhet: 5330001, Page: 02, Side: c, Line: 28, Word: 6",A02,c,,,,ורביעתא,adjective singular determined | conjunction,6
ktynywwt),"Masekhet: 5330001, Page: 02, Side: c, Line: 29, Word: 0",p02,A,,,,כתיניוותא,preposition with pronominal suffix | adjective,0
ywtr,"Masekhet: 5330001, Page: 02, Side: c, Line: 32, Word: 0",noun sg. abs. or construct,,,,,יותר,noun sg. abs. or construct,0
