text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mxzr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to return (trans.),"to turn something around, turn something away",to make to repeat,": to surround, go around",מחזר,xzr,verb (h)aphel,"to return (trans.) | to turn something around, turn something away | to make to repeat | : to surround, go around"
pTymyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A03,,,,,fat,,,,פטימין,pTym,adjective plural absolute,fat
pynxs,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,פינחס,pynxs,proper name Personal name,
{d}r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
{k}<s>lh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,basket,,,,סלה,sl,noun sg. emphatic,basket
dy )m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,די אמ',d_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
mn),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01,,,,,whence?,,,,מנא,mnn,a01,whence?
dmxzr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,verb C,,,,to return (trans.),"to turn something around, turn something away",to make to repeat,": to surround, go around",דמחזר,xzr,conjunction | verb (h)aphel,"to return (trans.) | to turn something around, turn something away | to make to repeat | : to surround, go around"
d)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דאמ',d_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
hw),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,,,,,he,,,,הוא,hw),P01C,he
hwy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
"ksP""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,כסף,None,No data,
$l,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,של,None,No data,
btmxwyyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בתמחויין,None,No data,
"""lhby)N","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,להביאן,None,No data,
"""mhw""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,מהו,None,No data,
ywnh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
d)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דאמ',d_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
mh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,what,,,,מה,mh,conjunction,what
mN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
d),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,,,,,this (f.),,,,דא,dh,R,this (f.)
)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
wm)N,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,c,,,,who?,"and, also",,,ומאן,w_,P01C | conjunction,"who? | and, also"
d),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,,,,,this (f.),,,,דא,dh,R,this (f.)
)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
m)N,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P02C,,,,,who?,,,,מאן,mn,P02C,who?
yd(y{n}N,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to know,to cohabit with,idioms:,"_:  to be experienced in/with, acquainted with",ידעין,yd(,verb peal,"to know | to cohabit with | idioms: | _:  to be experienced in/with, acquainted with"
wl),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,c,,,,"no, not","and, also",,,ולא,w_,a01C | conjunction,"no, not | and, also"
mr{z}<w>ryN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. absolute,,,,,bitter herb,,,,מרורין,mrwr,noun pl. absolute,bitter herb
(M,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01C,,,,,with,,,,עם,(m,p01C,with
pTyryN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. absolute,,,,,unleavened bread,,,,פטירין,pTyr,noun pl. absolute,unleavened bread
)mr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
y{s}^r^qwnyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. absolute,,,,,vegetation; vegetables,,,,ירקונין,yrq,noun pl. absolute,vegetation; vegetables
(M,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01C,,,,,with,,,,עם,(m,p01C,with
d)t,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,c,,,,you (m.),,,,דאת,d_,R | conjunction,you (m.)
{{pryTyN}}^pTyryN^,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. absolute,,,,,unleavened bread,,,,פריטיןפטירין,pTyr,noun pl. absolute,unleavened bread
mxzr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to return (trans.),"to turn something around, turn something away",to make to repeat,": to surround, go around",מחזר,xzr,verb (h)aphel,"to return (trans.) | to turn something around, turn something away | to make to repeat | : to surround, go around"
)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
wxrnh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,c,,,,other,"and, also",,,וחרנה,w_,P01C | conjunction,"other | and, also"
mn),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01,,,,,whence?,,,,מנא,mnn,a01,whence?
mxzr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to return (trans.),"to turn something around, turn something away",to make to repeat,": to surround, go around",מחזר,xzr,verb (h)aphel,"to return (trans.) | to turn something around, turn something away | to make to repeat | : to surround, go around"
)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
xd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",n01C,,,,,one,,,,חד,xd,n01C,one
z(yr),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,זעירא,z(yr),proper name Personal name,
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
qwmy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01C,,,,,before,,,,קומי,qwmy,p01C,before
tny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
mxlP,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb D,,,,,to exchange,to alternate something :,,,מחלף,xlp,verb pael,to exchange | to alternate something :
sb,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,old man,,,,סב,sb,noun sg. abs. or construct,old man
xd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",n01C,,,,,one,,,,חד,xd,n01C,one
tny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tnyy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,tanna,,,,תניי,tnyy#2,noun,tanna
)yt,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,,,,,אית,)yt,verb peal,
)ytmny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to be appointed,to be ordained,,,איתמני,mny,verb ethpaal,to be appointed | to be ordained
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
dm(pry),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,noun pl. emphatic,,,,a type of cloak,,,,דמעפריא,m(prh,preposition | noun pl. emphatic,a type of cloak
$m(<w>N,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
)ytmny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to be appointed,to be ordained,,,איתמני,mny,verb ethpaal,to be appointed | to be ordained
)bhw,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,אבהו,)bhw,proper name Personal name,
{ryglwtyh}<dgwlyyth>,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,noun pl. emphatic,,,,"cloak, hood",,,,דגולייתה,gwlh,preposition | noun pl. emphatic,"cloak, hood"
dy$',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,PN Personal name,,,,,,,,דיש',y$r)l,preposition | proper name Personal name,
l)r(),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,p03,,,,ground; land; Earth,,,,לארעא,l_,noun sg. emphatic | preposition proclitic,ground; land; Earth
)thlK,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to walk about,to be with constantly,,,אתהלך,hlk,verb ethpaal,to walk about | to be with constantly
qwM,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קום,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
sbt),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,old age,,,,סבתא,&ybh,noun,old age
)ylyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,,,,,these (m. and f.),,,,אילין,)ylyyn,R,these (m. and f.)
bgyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01C,,,,,because of,,,,בגין,bgyn,p01C,because of
sybtyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,old age,,,,סיבתיה,&ybh,noun,old age
bgwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,within,,,,בגוה,bgw,p02C,within
mN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
^lyh^,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02,,,,,,,,,ליה,l_,preposition with pronominal suffix,
wyhb,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,verb G,,,,to give,to place,"to permit, allow","as coverb: to be on the point of doing something, give oneself over to",ויהב,yhb,conjunction | verb peal,"to give | to place | to permit, allow | as coverb: to be on the point of doing something, give oneself over to"
)ygr),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,letter,,,,איגרא,)ygrh,noun,letter
)bhw,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,אבהו,)bhw,proper name Personal name,
xd),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",n01C,,,,,one,,,,חדא,xd,n01C,one
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
lyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,ליה,l_,preposition independent,
w$lx,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,"to send (something or someone, but see note)","to send word; order, summon","to put out, begin use of",p.p. : to appear out of nowhere(?),ושלח,w_,verb peal | conjunction,"to send (something or someone, but see note) | to send word; order, summon | to put out, begin use of | p.p. : to appear out of nowhere(?)"
bdmsqws,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02,GN Geographic name,,,,"in, with",,,,בדמסקוס,dmsqws,preposition with pronominal suffix | geographical name Geographic name,"in, with"
hwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ww),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,ווא,ww),proper name Personal name,
br,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
$m(wN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
"lxM""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,לחם,None,No data,
lxkmyM,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,לחכמים,None,No data,
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,לא,None,No data,
"""wgM","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,וגם,None,No data,
(lwy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,upon; against; to,,,,עלוי,(l,p02C,upon; against; to
qry,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",קרי,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
ywxnN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
whwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,והוה,w_,verb peal | conjunction,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
myklyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to eat,to consume,to enjoy the usufruct of something,in idioms,מיכליה,)kl,verb peal,to eat | to consume | to enjoy the usufruct of something | in idioms
(ygwl,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,calf,,,,עיגול,(gl,noun sg. abs. or construct,calf
lyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,ליה,l_,preposition independent,
hwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
wl),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,c,,,,"no, not","and, also",,,ולא,w_,a01C | conjunction,"no, not | and, also"
mylh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,"word, speech; thing",,,,מילה,mylh,noun,"word, speech; thing"
bkl,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02,noun sg. abs. or construct,,,,"in, with","all, every",,,בכל,kl,preposition with pronominal suffix | noun sg. abs. or construct,"in, with | all, every"
bmrglyt),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02,noun sg. emphatic,,,,"in, with",pearl,,,במרגליתא,mrgly,preposition with pronominal suffix | noun sg. emphatic,"in, with | pearl"
bqy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,expert,,,,בקי,bqy,noun sg. abs. or construct,expert
hwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ww),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,ווא,ww),proper name Personal name,
br,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
$m(wN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
)ytmny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to be appointed,to be ordained,,,איתמני,mny,verb ethpaal,to be appointed | to be ordained
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
whw),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,c,,,,he,"and, also",,,והוא,w_,P01C | conjunction,"he | and, also"
dqyqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A03,,,,,crushed; fine,,,,דקיקין,dqyq,adjective plural absolute,crushed; fine
mynyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,from,,,,מיניה,mn,p02C,from
w)ytmnwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,c,,,,to be appointed,to be ordained,,,ואיתמנון,w_,verb ethpaal | conjunction,to be appointed | to be ordained
bdmsqws,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02,GN Geographic name,,,,"in, with",,,,בדמסקוס,dmsqws,preposition with pronominal suffix | geographical name Geographic name,"in, with"
hwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ww),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,ווא,ww),proper name Personal name,
br,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
$m(wN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
dyxzwr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,verb G,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,דיחזור,xzr,conjunction | verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
wmnwnyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb D,c,,,,"to appoint, assign",to add,w.,",",ומנוניה,w_,verb pael | conjunction,"to appoint, assign | to add | w. | ,"
